Found 2102 Java files to convert
[62/2102] ✓ Converted: SWIGTYPE_p_FMOD_MEMORY_ALLOC_CALLBACK.java → converted/include/fmod/SWIGTYPE_p_FMOD_MEMORY_ALLOC_CALLBACK.h
[63/2102] ✓ Converted: SWIGTYPE_p_FMOD_SPEAKER.java → converted/include/fmod/SWIGTYPE_p_FMOD_SPEAKER.h
[64/2102] ✓ Converted: SWIGTYPE_p_FMOD_SYSTEM_CALLBACK_TYPE.java → converted/include/fmod/SWIGTYPE_p_FMOD_SYSTEM_CALLBACK_TYPE.h
[65/2102] ✓ Converted: SWIGTYPE_p_FMOD_PORT_INDEX.java → converted/include/fmod/SWIGTYPE_p_FMOD_PORT_INDEX.h
[66/2102] ✓ Converted: SWIGTYPE_p_FMOD_DEBUG_MODE.java → converted/include/fmod/SWIGTYPE_p_FMOD_DEBUG_MODE.h
[67/2102] ✓ Converted: SWIGTYPE_p_FMOD_CHANNEL.java → converted/include/fmod/SWIGTYPE_p_FMOD_CHANNEL.h
[68/2102] ✓ Converted: SWIGTYPE_p_FMOD_DSPCONNECTION_TYPE.java → converted/include/fmod/SWIGTYPE_p_FMOD_DSPCONNECTION_TYPE.h
[69/2102] ✓ Converted: SWIGTYPE_p_FMOD_OPENSTATE.java → converted/include/fmod/SWIGTYPE_p_FMOD_OPENSTATE.h
[70/2102] ✓ Converted: SWIGTYPE_p_FMOD_MODE.java → converted/include/fmod/SWIGTYPE_p_FMOD_MODE.h
[71/2102] ✓ Converted: SWIGTYPE_p_FMOD_FILE_ASYNCREAD_CALLBACK.java → converted/include/fmod/SWIGTYPE_p_FMOD_FILE_ASYNCREAD_CALLBACK.h
[72/2102] ✓ Converted: SWIGTYPE_p_FMOD_GEOMETRY.java → converted/include/fmod/SWIGTYPE_p_FMOD_GEOMETRY.h
[73/2102] ✓ Converted: SWIGTYPE_p_FMOD_OUTPUTTYPE.java → converted/include/fmod/SWIGTYPE_p_FMOD_OUTPUTTYPE.h
[74/2102] ✓ Converted: SWIGTYPE_p_FMOD_PORT_TYPE.java → converted/include/fmod/SWIGTYPE_p_FMOD_PORT_TYPE.h
[75/2102] ✓ Converted: SWIGTYPE_p_FMOD_FILE_OPEN_CALLBACK.java → converted/include/fmod/SWIGTYPE_p_FMOD_FILE_OPEN_CALLBACK.h
[76/2102] ✓ Converted: SWIGTYPE_p_FMOD_CHANNELCONTROL_CALLBACK.java → converted/include/fmod/SWIGTYPE_p_FMOD_CHANNELCONTROL_CALLBACK.h
[77/2102] ✓ Converted: SWIGTYPE_p_FMOD_REVERB3D.java → converted/include/fmod/SWIGTYPE_p_FMOD_REVERB3D.h
[78/2102] ✓ Converted: SWIGTYPE_p_FMOD_VECTOR.java → converted/include/fmod/SWIGTYPE_p_FMOD_VECTOR.h
[79/2102] ✓ Converted: SWIGTYPE_p_FMOD_SYSTEM_CALLBACK.java → converted/include/fmod/SWIGTYPE_p_FMOD_SYSTEM_CALLBACK.h
[80/2102] ✓ Converted: SWIGTYPE_p_FMOD_FILE_CLOSE_CALLBACK.java → converted/include/fmod/SWIGTYPE_p_FMOD_FILE_CLOSE_CALLBACK.h
[81/2102] ✓ Converted: SWIGTYPE_p_FMOD_DEBUG_CALLBACK.java → converted/include/fmod/SWIGTYPE_p_FMOD_DEBUG_CALLBACK.h
[82/2102] ✓ Converted: SWIGTYPE_p_p_FMOD_DSP_PARAMETER_DESC.java → converted/include/fmod/SWIGTYPE_p_p_FMOD_DSP_PARAMETER_DESC.h
[83/2102] ✓ Converted: FMODSoundBuffer.java → converted/include/fmod/FMODSoundBuffer.h
[84/2102] ✓ Converted: SWIGTYPE_p_p_FMOD_VECTOR.java → converted/include/fmod/SWIGTYPE_p_p_FMOD_VECTOR.h
[85/2102] ✓ Converted: SWIGTYPE_p_FMOD_REVERB_PROPERTIES.java → converted/include/fmod/SWIGTYPE_p_FMOD_REVERB_PROPERTIES.h
[86/2102] ✓ Converted: SWIGTYPE_p_p_FMOD_SOUND.java → converted/include/fmod/SWIGTYPE_p_p_FMOD_SOUND.h
[87/2102] ✓ Converted: SWIGTYPE_p_p_FMOD_SYNCPOINT.java → converted/include/fmod/SWIGTYPE_p_p_FMOD_SYNCPOINT.h
[88/2102] ✓ Converted: SWIGTYPE_p_FMOD_SOUND.java → converted/include/fmod/SWIGTYPE_p_FMOD_SOUND.h
[89/2102] ✓ Converted: SWIGTYPE_p_FMOD_ADVANCEDSETTINGS.java → converted/include/fmod/SWIGTYPE_p_FMOD_ADVANCEDSETTINGS.h
[90/2102] ✓ Converted: SWIGTYPE_p_FMOD_TIMEUNIT.java → converted/include/fmod/SWIGTYPE_p_FMOD_TIMEUNIT.h
[91/2102] ✓ Converted: SWIGTYPE_p_p_FMOD_DSP.java → converted/include/fmod/SWIGTYPE_p_p_FMOD_DSP.h
[92/2102] ✓ Converted: SWIGTYPE_p_FMOD_TAG.java → converted/include/fmod/SWIGTYPE_p_FMOD_TAG.h
[93/2102] ✓ Converted: SWIGTYPE_p_FMOD_CHANNELMASK.java → converted/include/fmod/SWIGTYPE_p_FMOD_CHANNELMASK.h
[94/2102] ✓ Converted: SWIGTYPE_p_p_FMOD_DSP_DESCRIPTION.java → converted/include/fmod/SWIGTYPE_p_p_FMOD_DSP_DESCRIPTION.h
[95/2102] ✓ Converted: SWIGTYPE_p_unsigned_long_long.java → converted/include/fmod/SWIGTYPE_p_unsigned_long_long.h
[96/2102] ✓ Converted: SWIGTYPE_p_FMOD_INITFLAGS.java → converted/include/fmod/SWIGTYPE_p_FMOD_INITFLAGS.h
[97/2102] ✓ Converted: SWIGTYPE_p_float.java → converted/include/fmod/SWIGTYPE_p_float.h
[98/2102] ✓ Converted: SWIGTYPE_p_FMOD_SYSTEM.java → converted/include/fmod/SWIGTYPE_p_FMOD_SYSTEM.h
[99/2102] ✓ Converted: SWIGTYPE_p_FMOD_SYNCPOINT.java → converted/include/fmod/SWIGTYPE_p_FMOD_SYNCPOINT.h
[100/2102] ✓ Converted: SWIGTYPE_p_FMOD_CREATESOUNDEXINFO.java → converted/include/fmod/SWIGTYPE_p_FMOD_CREATESOUNDEXINFO.h
[101/2102] ✓ Converted: SWIGTYPE_p_p_FMOD_CHANNEL.java → converted/include/fmod/SWIGTYPE_p_p_FMOD_CHANNEL.h
[102/2102] ✓ Converted: SWIGTYPE_p_void.java → converted/include/fmod/SWIGTYPE_p_void.h
[103/2102] ✓ Converted: SWIGTYPE_p_p_FMOD_REVERB3D.java → converted/include/fmod/SWIGTYPE_p_p_FMOD_REVERB3D.h
[104/2102] ✓ Converted: SWIGTYPE_p_p_void.java → converted/include/fmod/SWIGTYPE_p_p_void.h
[105/2102] ✓ Converted: SWIGTYPE_p_p_FMOD_SYSTEM.java → converted/include/fmod/SWIGTYPE_p_p_FMOD_SYSTEM.h
[106/2102] ✓ Converted: SWIGTYPE_p_p_FMOD_CHANNELGROUP.java → converted/include/fmod/SWIGTYPE_p_p_FMOD_CHANNELGROUP.h
[107/2102] ✓ Converted: SWIGTYPE_p_unsigned_int.java → converted/include/fmod/SWIGTYPE_p_unsigned_int.h
[108/2102] ✓ Converted: SWIGTYPE_p_FMOD_DSP_TYPE.java → converted/include/fmod/SWIGTYPE_p_FMOD_DSP_TYPE.h
[109/2102] ✓ Converted: SWIGTYPE_p_FMOD_BOOL.java → converted/include/fmod/SWIGTYPE_p_FMOD_BOOL.h
[110/2102] ✓ Converted: javafmodJNI.java → converted/include/fmod/javafmodJNI.h
[111/2102] ✓ Converted: SWIGTYPE_p_FMOD_CHANNELGROUP.java → converted/include/fmod/SWIGTYPE_p_FMOD_CHANNELGROUP.h
[112/2102] ✓ Converted: SWIGTYPE_p_FMOD_PLUGINTYPE.java → converted/include/fmod/SWIGTYPE_p_FMOD_PLUGINTYPE.h
[113/2102] ✓ Converted: SWIGTYPE_p_p_FMOD_GEOMETRY.java → converted/include/fmod/SWIGTYPE_p_p_FMOD_GEOMETRY.h
[114/2102] ✓ Converted: SWIGTYPE_p_int.java → converted/include/fmod/SWIGTYPE_p_int.h
[115/2102] ✓ Converted: FMOD_DriverInfo.java → converted/include/fmod/FMOD_DriverInfo.h
[116/2102] ✓ Converted: SWIGTYPE_p_FMOD_SPEAKERMODE.java → converted/include/fmod/SWIGTYPE_p_FMOD_SPEAKERMODE.h
[117/2102] ✓ Converted: SWIGTYPE_p_FMOD_SOUND_TYPE.java → converted/include/fmod/SWIGTYPE_p_FMOD_SOUND_TYPE.h
[118/2102] ✓ Converted: FMOD_STUDIO_EVENT_PROPERTY.java → converted/include/fmod/FMOD_STUDIO_EVENT_PROPERTY.h
[119/2102] ✓ Converted: SWIGTYPE_p_FMOD_DSP_METERING_INFO.java → converted/include/fmod/SWIGTYPE_p_FMOD_DSP_METERING_INFO.h
[120/2102] ✓ Converted: SWIGTYPE_p_FMOD_SOUNDGROUP.java → converted/include/fmod/SWIGTYPE_p_FMOD_SOUNDGROUP.h
[121/2102] ✓ Converted: SWIGTYPE_p_FMOD_DSPCONNECTION.java → converted/include/fmod/SWIGTYPE_p_FMOD_DSPCONNECTION.h
[122/2102] ✓ Converted: SWIGTYPE_p_FMOD_DEBUG_FLAGS.java → converted/include/fmod/SWIGTYPE_p_FMOD_DEBUG_FLAGS.h
[123/2102] ✓ Converted: SWIGTYPE_p_FMOD_DSP_DESCRIPTION.java → converted/include/fmod/SWIGTYPE_p_FMOD_DSP_DESCRIPTION.h
[124/2102] ✓ Converted: SWIGTYPE_p_FMOD_MEMORY_TYPE.java → converted/include/fmod/SWIGTYPE_p_FMOD_MEMORY_TYPE.h
[125/2102] ✓ Converted: SWIGTYPE_p_FMOD_RESULT.java → converted/include/fmod/SWIGTYPE_p_FMOD_RESULT.h
[126/2102] ✓ Converted: FMOD_RESULT.java → converted/include/fmod/FMOD_RESULT.h
[127/2102] ✓ Converted: SWIGTYPE_p_FMOD_SOUND_FORMAT.java → converted/include/fmod/SWIGTYPE_p_FMOD_SOUND_FORMAT.h
[128/2102] ✓ Converted: SWIGTYPE_p_FMOD_MEMORY_REALLOC_CALLBACK.java → converted/include/fmod/SWIGTYPE_p_FMOD_MEMORY_REALLOC_CALLBACK.h
[129/2102] ✓ Converted: SoundBuffer.java → converted/include/fmod/SoundBuffer.h
[130/2102] ✓ Converted: SWIGTYPE_p_FMOD_FILE_ASYNCCANCEL_CALLBACK.java → converted/include/fmod/SWIGTYPE_p_FMOD_FILE_ASYNCCANCEL_CALLBACK.h
[131/2102] ✓ Converted: SWIGTYPE_p_p_FMOD_SOUNDGROUP.java → converted/include/fmod/SWIGTYPE_p_p_FMOD_SOUNDGROUP.h
[132/2102] ✓ Converted: PngInputStream.java → converted/include/com/sixlegs/png/PngInputStream.h
[133/2102] ✓ Converted: ImageFactory.java → converted/include/com/sixlegs/png/ImageFactory.h
[134/2102] ✓ Converted: ProgressivePixelProcessor.java → converted/include/com/sixlegs/png/ProgressivePixelProcessor.h
[135/2102] ✓ Converted: PngConfig.java → converted/include/com/sixlegs/png/PngConfig.h
[136/2102] ✓ Converted: BasicPixelProcessor.java → converted/include/com/sixlegs/png/BasicPixelProcessor.h
[137/2102] ✓ Converted: TextChunk.java → converted/include/com/sixlegs/png/TextChunk.h
[138/2102] ✓ Converted: Destination.java → converted/include/com/sixlegs/png/Destination.h
[139/2102] ✓ Converted: ProgressUpdater.java → converted/include/com/sixlegs/png/ProgressUpdater.h
[140/2102] ✓ Converted: ImageDataInputStream.java → converted/include/com/sixlegs/png/ImageDataInputStream.h
[141/2102] ✓ Converted: StateMachine.java → converted/include/com/sixlegs/png/StateMachine.h
[142/2102] ✓ Converted: PngException.java → converted/include/com/sixlegs/png/PngException.h
[143/2102] ✓ Converted: Defilterer.java → converted/include/com/sixlegs/png/Defilterer.h
[144/2102] ✓ Converted: SourceRegionDestination.java → converted/include/com/sixlegs/png/SourceRegionDestination.h
[145/2102] ✓ Converted: RegisteredChunks.java → converted/include/com/sixlegs/png/RegisteredChunks.h
[146/2102] ✓ Converted: SuggestedPaletteImpl.java → converted/include/com/sixlegs/png/SuggestedPaletteImpl.h
[147/2102] ✓ Converted: RasterDestination.java → converted/include/com/sixlegs/png/RasterDestination.h
[148/2102] ✓ Converted: SuggestedPalette.java → converted/include/com/sixlegs/png/SuggestedPalette.h
[149/2102] ✓ Converted: PngImage.java → converted/include/com/sixlegs/png/PngImage.h
[150/2102] ✓ Converted: GammaPixelProcessor.java → converted/include/com/sixlegs/png/GammaPixelProcessor.h
[151/2102] ✓ Converted: PngConstants.java → converted/include/com/sixlegs/png/PngConstants.h
[152/2102] ✓ Converted: PixelProcessor.java → converted/include/com/sixlegs/png/PixelProcessor.h
[153/2102] ✓ Converted: TextChunkImpl.java → converted/include/com/sixlegs/png/TextChunkImpl.h
[154/2102] ✓ Converted: Integers.java → converted/include/com/sixlegs/png/Integers.h
[155/2102] ✓ Converted: SubsamplingDestination.java → converted/include/com/sixlegs/png/SubsamplingDestination.h
[156/2102] ✓ Converted: ConvertIndexedDestination.java → converted/include/com/sixlegs/png/ConvertIndexedDestination.h
[157/2102] ✓ Converted: TransGammaPixelProcessor.java → converted/include/com/sixlegs/png/TransGammaPixelProcessor.h
[158/2102] ✓ Converted: Page.java → converted/include/com/jcraft/jogg/Page.h
[159/2102] ✓ Converted: StreamState.java → converted/include/com/jcraft/jogg/StreamState.h
[160/2102] ✓ Converted: Buffer.java → converted/include/com/jcraft/jogg/Buffer.h
[161/2102] ✓ Converted: Packet.java → converted/include/com/jcraft/jogg/Packet.h
[162/2102] ✓ Converted: SyncState.java → converted/include/com/jcraft/jogg/SyncState.h
[163/2102] ✓ Converted: Lpc.java → converted/include/com/jcraft/jorbis/Lpc.h
[164/2102] ✓ Converted: VorbisFile.java → converted/include/com/jcraft/jorbis/VorbisFile.h
[165/2102] ✓ Converted: Lsp.java → converted/include/com/jcraft/jorbis/Lsp.h
[166/2102] ✓ Converted: Residue0.java → converted/include/com/jcraft/jorbis/Residue0.h
[167/2102] ✓ Converted: FuncTime.java → converted/include/com/jcraft/jorbis/FuncTime.h
[168/2102] ✓ Converted: Floor1.java → converted/include/com/jcraft/jorbis/Floor1.h
[169/2102] ✓ Converted: Time0.java → converted/include/com/jcraft/jorbis/Time0.h
[170/2102] ✓ Converted: Drft.java → converted/include/com/jcraft/jorbis/Drft.h
[171/2102] ✓ Converted: DspState.java → converted/include/com/jcraft/jorbis/DspState.h
[172/2102] ✓ Converted: FuncFloor.java → converted/include/com/jcraft/jorbis/FuncFloor.h
[173/2102] ✓ Converted: StaticCodeBook.java → converted/include/com/jcraft/jorbis/StaticCodeBook.h
[174/2102] ✓ Converted: InfoMode.java → converted/include/com/jcraft/jorbis/InfoMode.h
[175/2102] ✓ Converted: Mapping0.java → converted/include/com/jcraft/jorbis/Mapping0.h
[176/2102] ✓ Converted: Block.java → converted/include/com/jcraft/jorbis/Block.h
[177/2102] ✓ Converted: FuncResidue.java → converted/include/com/jcraft/jorbis/FuncResidue.h
[178/2102] ✓ Converted: FuncMapping.java → converted/include/com/jcraft/jorbis/FuncMapping.h
[179/2102] ✓ Converted: Lookup.java → converted/include/com/jcraft/jorbis/Lookup.h
[180/2102] ✓ Converted: Floor0.java → converted/include/com/jcraft/jorbis/Floor0.h
[181/2102] ✓ Converted: DecodeExample.java → converted/include/com/jcraft/jorbis/DecodeExample.h
[182/2102] ✓ Converted: ChainingExample.java → converted/include/com/jcraft/jorbis/ChainingExample.h
[183/2102] ✓ Converted: Residue2.java → converted/include/com/jcraft/jorbis/Residue2.h
[184/2102] ✓ Converted: Util.java → converted/include/com/jcraft/jorbis/Util.h
[185/2102] ✓ Converted: Comment.java → converted/include/com/jcraft/jorbis/Comment.h
[186/2102] ✓ Converted: PsyInfo.java → converted/include/com/jcraft/jorbis/PsyInfo.h
[187/2102] ✓ Converted: CodeBook.java → converted/include/com/jcraft/jorbis/CodeBook.h
[188/2102] ✓ Converted: Mdct.java → converted/include/com/jcraft/jorbis/Mdct.h
[189/2102] ✓ Converted: Residue1.java → converted/include/com/jcraft/jorbis/Residue1.h
[190/2102] ✓ Converted: Info.java → converted/include/com/jcraft/jorbis/Info.h
[191/2102] ✓ Converted: PsyLook.java → converted/include/com/jcraft/jorbis/PsyLook.h
[192/2102] ✓ Converted: JOrbisException.java → converted/include/com/jcraft/jorbis/JOrbisException.h
[193/2102] ✓ Converted: DDSurface.java → converted/include/com/evildevil/engines/bubble/texture/DDSurface.h
[194/2102] ✓ Converted: DDSLoader.java → converted/include/com/evildevil/engines/bubble/texture/DDSLoader.h
[195/2102] ✓ Converted: DDSCaps2.java → converted/include/com/evildevil/engines/bubble/texture/DDSCaps2.h
[196/2102] ✓ Converted: DDSurfaceDesc2.java → converted/include/com/evildevil/engines/bubble/texture/DDSurfaceDesc2.h
[197/2102] ✓ Converted: DDPixelFormat.java → converted/include/com/evildevil/engines/bubble/texture/DDPixelFormat.h
[198/2102] ✓ Converted: TextureFormatException.java → converted/include/com/evildevil/engines/bubble/texture/TextureFormatException.h
[199/2102] ✓ Converted: ScriptManager.java → converted/include/zombie/scripting/ScriptManager.h
[200/2102] ✓ Converted: ScriptParsingUtils.java → converted/include/zombie/scripting/ScriptParsingUtils.h
[201/2102] ✓ Converted: IScriptObjectStore.java → converted/include/zombie/scripting/IScriptObjectStore.h
[202/2102] ✓ Converted: ScriptParser.java → converted/include/zombie/scripting/ScriptParser.h
[203/2102] ✓ Converted: RandomizedWorldBase.java → converted/include/zombie/randomizedWorld/RandomizedWorldBase.h
[204/2102] ✓ Converted: ErosionRegions.java → converted/include/zombie/erosion/ErosionRegions.h
[205/2102] ✓ Converted: ErosionConfig.java → converted/include/zombie/erosion/ErosionConfig.h
[206/2102] ✓ Converted: ErosionGlobals.java → converted/include/zombie/erosion/ErosionGlobals.h
[207/2102] ✓ Converted: ErosionData.java → converted/include/zombie/erosion/ErosionData.h
[208/2102] ✓ Converted: ErosionMain.java → converted/include/zombie/erosion/ErosionMain.h
[209/2102] ✓ Converted: ErosionWorld.java → converted/include/zombie/erosion/ErosionWorld.h
[210/2102] ✓ Converted: ErosionClient.java → converted/include/zombie/erosion/ErosionClient.h
[211/2102] ✓ Converted: DictionaryData.java → converted/include/zombie/world/DictionaryData.h
[212/2102] ✓ Converted: WorldDictionaryException.java → converted/include/zombie/world/WorldDictionaryException.h
[213/2102] ✓ Converted: WorldDictionary.java → converted/include/zombie/world/WorldDictionary.h
[214/2102] ✓ Converted: DictionaryDataClient.java → converted/include/zombie/world/DictionaryDataClient.h
[215/2102] ✓ Converted: ItemInfo.java → converted/include/zombie/world/ItemInfo.h
[216/2102] ✓ Converted: ModUtilsJava.java → converted/include/zombie/modding/ModUtilsJava.h
[217/2102] ✓ Converted: ActiveMods.java → converted/include/zombie/modding/ActiveMods.h
[218/2102] ✓ Converted: ActiveModsFile.java → converted/include/zombie/modding/ActiveModsFile.h
[219/2102] ✓ Converted: AssetType.java → converted/include/zombie/asset/AssetType.h
[220/2102] ✓ Converted: FileTask_LoadAiScene.java → converted/include/zombie/asset/FileTask_LoadAiScene.h
[221/2102] ✓ Converted: AssetManager.java → converted/include/zombie/asset/AssetManager.h
[222/2102] ✓ Converted: AssetTask_RunFileTask.java → converted/include/zombie/asset/AssetTask_RunFileTask.h
[223/2102] ✓ Converted: FileTask_ParseXML.java → converted/include/zombie/asset/FileTask_ParseXML.h
[224/2102] ✓ Converted: Asset.java → converted/include/zombie/asset/Asset.h
[225/2102] ✓ Converted: AssetPath.java → converted/include/zombie/asset/AssetPath.h
[226/2102] ✓ Converted: FileTask_Exists.java → converted/include/zombie/asset/FileTask_Exists.h
[227/2102] ✓ Converted: AssetManagers.java → converted/include/zombie/asset/AssetManagers.h
[228/2102] ✓ Converted: AssetTask.java → converted/include/zombie/asset/AssetTask.h
[229/2102] ✓ Converted: FileTask_LoadImageData.java → converted/include/zombie/asset/FileTask_LoadImageData.h
[230/2102] ✓ Converted: AssetTask_LoadFromFileAsync.java → converted/include/zombie/asset/AssetTask_LoadFromFileAsync.h
[231/2102] ✓ Converted: AssetStateObserver.java → converted/include/zombie/asset/AssetStateObserver.h
[232/2102] ✓ Converted: FileTask_LoadPackImage.java → converted/include/zombie/asset/FileTask_LoadPackImage.h
[233/2102] ✓ Converted: VBOLinesUV.java → converted/include/zombie/worldMap/VBOLinesUV.h
[234/2102] ✓ Converted: FileTask_LoadWorldMapBinary.java → converted/include/zombie/worldMap/FileTask_LoadWorldMapBinary.h
[235/2102] ✓ Converted: UIWorldMapV1.java → converted/include/zombie/worldMap/UIWorldMapV1.h
[236/2102] ✓ Converted: WorldMapFeature.java → converted/include/zombie/worldMap/WorldMapFeature.h
[237/2102] ✓ Converted: WorldMapBinary.java → converted/include/zombie/worldMap/WorldMapBinary.h
[238/2102] ✓ Converted: WorldMapRenderer.java → converted/include/zombie/worldMap/WorldMapRenderer.h
[239/2102] ✓ Converted: WorldMapRemotePlayers.java → converted/include/zombie/worldMap/WorldMapRemotePlayers.h
[240/2102] ✓ Converted: WorldMap.java → converted/include/zombie/worldMap/WorldMap.h
[241/2102] ✓ Converted: WorldMapImages.java → converted/include/zombie/worldMap/WorldMapImages.h
[242/2102] ✓ Converted: WorldMapDataAssetManager.java → converted/include/zombie/worldMap/WorldMapDataAssetManager.h
[243/2102] ✓ Converted: WorldMapPoints.java → converted/include/zombie/worldMap/WorldMapPoints.h
[244/2102] ✓ Converted: WorldMapJNI.java → converted/include/zombie/worldMap/WorldMapJNI.h
